"id" "normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "included"
"1" "52506" 9.37148662648433 -0.396230857865774 -15.0595612260169 237.339656255784 1
"2" "52608" 7.03361496502303 -1.53230524488466 -46.9860851294526 1395.00393770257 1
"3" "53121" 8.97007291175811 -0.244116873005327 -43.6485134866159 373.071070737549 1
"4" "53351" 0.85004193439751 1.31746125205523 38.1979990896363 969.20986233928 1
"5" "53844" 5.77903915479416 -3.5522873366238 160.835076025162 316.302322272003 1
"6" "54157" 9.40229481148092 0.341751825383879 100.800508254093 567.513931908336 1
"7" "54228" 8.7969583244265 -0.118992940430355 -75.116444900307 508.072537167119 1
"8" "54250" 8.69753419197306 -0.226216928760777 -46.4265510096554 141.208181587495 1
"9" "54278" 8.20401528212899 -0.557810129681596 73.4018109897722 0 1
"10" "54316" 7.66385008808885 -0.740418146010483 -30.4522040738531 173.110015350187 1
"11" "54321" 6.7974402982211 -0.396658163607636 75.942395999344 0 1
"12" "54529" 7.48199312231162 -0.582265457125492 -65.0349741790353 332.801347868942 1
"13" "55209" 8.45259827140847 -0.230172337062259 -74.791198365027 180.642145041757 1
"14" "55396" 3.93276964605866 -3.43075682141467 -24.5465752444442 304.10230614249 1
"15" "55604" -1.58947598655127 2.97425284915982 30.3966228844637 1715.14968578085 1
"16" "55672" 8.61586078213934 0.656245985750871 -76.5308055648527 752.57023458092 1
"17" "55731" 10.610417308008 0.138195337911017 -92.554292133078 1644.53483422682 1
"18" "55929" 0.808828437126834 0.225734791104746 31.6407221610871 77.1427775233459 1
"19" "55996" 7.27225332069696 -2.97429365678943 211.362168857675 842.716606738858 1
"20" "56012" -0.0339208552278155 -0.832314507868644 13.7473422753957 163.360229239671 1
"21" "56118" 0.391710853066862 -0.412156869662011 -11.6712455371885 220.601253226056 1
"22" "56237" 1.99344749189588 -0.95729443964103 84.0110670938032 837.074808440666 1
"23" "56243" 0.286065903638162 -0.010295990124649 11.4313449745564 34.5983296699898 1
"24" "56326" 11.5191695049872 0.179759973074365 -131.663800237198 0 1
"25" "56619" 6.10075745115075 -0.151119826549083 -42.7344637356437 211.458448402852 1
"26" "56985" 0.94952767991712 -1.56611351270283 18.2523322343585 1032.62518749416 1
"27" "57199" -11.6924503860784 -0.0712751739932196 102.252066058664 305.189999680617 1
