"voter_id" "present" "absent" "attendance"
"5509a8fb273a3904f6e71a66" 1548 7 0.995498392282958
"5509a8fb273a3904f6e71a6a" 444 32 0.932773109243697
"5509a8fb273a3904f6e71a6e" 1514 41 0.973633440514469
"5509a8fb273a3904f6e71a72" 1531 24 0.984565916398714
"5509a8fb273a3904f6e71a76" 1445 110 0.929260450160772
"5509a8fb273a3904f6e71a7a" 1540 15 0.990353697749196
"5509a8fb273a3904f6e71a7e" 1523 32 0.979421221864952
"5509a8fb273a3904f6e71a82" 1511 44 0.971704180064309
"5509a8fc273a3904f6e71a86" 1408 147 0.905466237942122
"5509a8fc273a3904f6e71a8a" 1555 0 1
"5509a8fc273a3904f6e71a8e" 1547 8 0.994855305466238
"5509a8fc273a3904f6e71a92" 1551 4 0.997427652733119
"5509a8fc273a3904f6e71a96" 1519 36 0.976848874598071
"5509a8fc273a3904f6e71a9a" 1420 135 0.913183279742765
"5509a8fc273a3904f6e71a9e" 950 605 0.610932475884244
"5509a8fc273a3904f6e71aa2" 1532 23 0.985209003215434
"5509a8fc273a3904f6e71aa6" 1373 182 0.882958199356913
"5509a8fc273a3904f6e71aaa" 1392 163 0.895176848874598
"5509a8fc273a3904f6e71aae" 1306 249 0.839871382636656
"5509a8fc273a3904f6e71ab2" 1553 2 0.998713826366559
"5509a8fc273a3904f6e71ab6" 1485 70 0.954983922829582
"5509a8fc273a3904f6e71aba" 1544 11 0.992926045016077
"5509a8fc273a3904f6e71abe" 1512 43 0.972347266881029
"5509a8fd273a3904f6e71ac2" 1460 95 0.938906752411576
"5509a8fd273a3904f6e71ac6" 1525 30 0.980707395498392
"5509a8fd273a3904f6e71aca" 1552 3 0.998070739549839
"5509a8fd273a3904f6e71ace" 753 802 0.484244372990354
"5509a8fd273a3904f6e71ad2" 1426 129 0.917041800643087
"5509a8fd273a3904f6e71ad6" 1431 124 0.920257234726688
"5509a8fd273a3904f6e71ada" 1511 44 0.971704180064309
"5509a8fd273a3904f6e71ade" 1487 68 0.956270096463023
"5509a8fd273a3904f6e71ae2" 1554 1 0.99935691318328
"5509a8fd273a3904f6e71ae6" 1489 66 0.957556270096463
"5509a8fd273a3904f6e71aea" 1519 36 0.976848874598071
"5509a8fd273a3904f6e71aee" 1547 8 0.994855305466238
"5509a8fd273a3904f6e71af2" 1548 7 0.995498392282958
"5509a8fd273a3904f6e71af6" 1529 26 0.983279742765273
"5509a8fd273a3904f6e71afa" 1523 32 0.979421221864952
"5509a8fe273a3904f6e71afe" 200 0 1
"5509a8fe273a3904f6e71b02" 1510 45 0.971061093247588
"5509a8fe273a3904f6e71b06" 1539 16 0.989710610932476
"5509a8fe273a3904f6e71b0a" 957 57 0.943786982248521
"5509a8fe273a3904f6e71b0e" 1503 52 0.966559485530547
"5509a8fe273a3904f6e71b12" 1553 2 0.998713826366559
"5509a8fe273a3904f6e71b16" 33 0 1
"5509a8fe273a3904f6e71b1a" 1013 1 0.999013806706114
"5509a8fe273a3904f6e71b1e" 1397 158 0.898392282958199
"5509a8fe273a3904f6e71b22" 1286 4 0.996899224806202
"5509a8fe273a3904f6e71b26" 1456 99 0.936334405144695
"5509a8fe273a3904f6e71b2a" 1187 368 0.763344051446945
"5509a8fe273a3904f6e71b2e" 1461 94 0.939549839228296
"5509a8fe273a3904f6e71b32" 1546 9 0.994212218649518
"5509a8ff273a3904f6e71b36" 1095 208 0.840368380660015
"5509a8ff273a3904f6e71b3a" 1248 307 0.802572347266881
"5509a8ff273a3904f6e71b3e" 358 118 0.752100840336134
"5509a8ff273a3904f6e71b42" 1548 7 0.995498392282958
"5509a8ff273a3904f6e71b46" 1514 41 0.973633440514469
"5509a8ff273a3904f6e71b4a" 1291 9 0.993076923076923
"5509a8ff273a3904f6e71b4e" 1552 3 0.998070739549839
"5509a8ff273a3904f6e71b52" 1547 8 0.994855305466238
"5509a8ff273a3904f6e71b56" 1554 1 0.99935691318328
"5509a8ff273a3904f6e71b5a" 1554 1 0.99935691318328
"5509a8ff273a3904f6e71b5e" 1460 95 0.938906752411576
"5509a8ff273a3904f6e71b62" 1457 98 0.936977491961415
"5509a8ff273a3904f6e71b66" 1505 50 0.967845659163987
"5509a8ff273a3904f6e71b6a" 1321 234 0.84951768488746
"5509a8ff273a3904f6e71b6e" 1010 4 0.996055226824458
"5509a8ff273a3904f6e71b72" 1278 277 0.821864951768489
"5509a900273a3904f6e71b76" 357 119 0.75
"5509a900273a3904f6e71b7a" 1435 120 0.922829581993569
"5509a900273a3904f6e71b7e" 1524 31 0.980064308681672
"5509a900273a3904f6e71b82" 1506 49 0.968488745980707
"5509a900273a3904f6e71b86" 1547 8 0.994855305466238
"5509a900273a3904f6e71b8a" 1533 22 0.985852090032154
"5509a900273a3904f6e71b8e" 1534 21 0.986495176848875
"5509a900273a3904f6e71b92" 1328 227 0.854019292604502
"5509a900273a3904f6e71b96" 1539 16 0.989710610932476
"5509a900273a3904f6e71b9a" 1510 45 0.971061093247588
"5509a900273a3904f6e71b9e" 1554 1 0.99935691318328
"5509a900273a3904f6e71ba2" 1178 377 0.757556270096463
"5509a900273a3904f6e71ba6" 1442 113 0.927331189710611
"5509a900273a3904f6e71baa" 1542 13 0.991639871382637
"5509a900273a3904f6e71bae" 1546 9 0.994212218649518
"5509a900273a3904f6e71bb2" 1280 275 0.823151125401929
"5509a901273a3904f6e71bb6" 420 56 0.882352941176471
"5509a901273a3904f6e71bba" 1437 118 0.92411575562701
"5509a901273a3904f6e71bbe" 1458 97 0.937620578778135
"5509a901273a3904f6e71bc2" 1520 35 0.977491961414791
"5509a901273a3904f6e71bc6" 1424 131 0.915755627009646
"5509a901273a3904f6e71bca" 1218 82 0.936923076923077
"5509a901273a3904f6e71bce" 1554 1 0.99935691318328
"5509a901273a3904f6e71bd2" 1540 15 0.990353697749196
"5509a901273a3904f6e71bda" 1552 3 0.998070739549839
"5509a901273a3904f6e71bde" 1504 51 0.967202572347267
"5509a901273a3904f6e71be2" 1539 16 0.989710610932476
"5509a901273a3904f6e71be6" 1481 74 0.952411575562701
"5509a901273a3904f6e71bea" 1516 39 0.97491961414791
"5509a901273a3904f6e71bee" 1294 61 0.954981549815498
"5509a902273a3904f6e71bf2" 1505 50 0.967845659163987
"5509a902273a3904f6e71bf6" 1305 250 0.839228295819936
"5509a902273a3904f6e71bfa" 1369 186 0.880385852090032
"5509a902273a3904f6e71bfe" 1232 123 0.909225092250923
"5509a902273a3904f6e71c02" 1287 13 0.99
"5509a902273a3904f6e71c06" 1535 20 0.987138263665595
"5509a902273a3904f6e71c0a" 1386 169 0.891318327974277
"5509a902273a3904f6e71c0e" 463 13 0.972689075630252
"5509a902273a3904f6e71c12" 1385 170 0.890675241157556
"5509a902273a3904f6e71c16" 366 110 0.76890756302521
"5509a902273a3904f6e71c1a" 1487 68 0.956270096463023
"5509a902273a3904f6e71c1e" 1385 170 0.890675241157556
"5509a902273a3904f6e71c22" 1529 26 0.983279742765273
"5509a902273a3904f6e71c26" 1552 3 0.998070739549839
"5509a902273a3904f6e71c2a" 1544 11 0.992926045016077
"5509a903273a3904f6e71c2e" 1525 30 0.980707395498392
"5509a903273a3904f6e71c32" 1524 31 0.980064308681672
"5509a903273a3904f6e71c36" 1513 42 0.972990353697749
"5509a903273a3904f6e71c3a" 1379 176 0.886816720257235
"5509a903273a3904f6e71c3e" 754 375 0.66784765279008
"5509a903273a3904f6e71c42" 1544 11 0.992926045016077
"5509a903273a3904f6e71c46" 1539 16 0.989710610932476
"5509a903273a3904f6e71c4a" 1548 7 0.995498392282958
"5509a903273a3904f6e71c4e" 1552 3 0.998070739549839
"5509a903273a3904f6e71c52" 1528 27 0.982636655948553
"5509a903273a3904f6e71c56" 1134 62 0.948160535117057
"5509a903273a3904f6e71c5a" 1460 95 0.938906752411576
"5509a903273a3904f6e71c5e" 1459 96 0.938263665594855
"5509a903273a3904f6e71c62" 1555 0 1
"5509a904273a3904f6e71c66" 1526 29 0.981350482315113
"5509a904273a3904f6e71c6a" 1450 105 0.932475884244373
"5509a904273a3904f6e71c6e" 1524 31 0.980064308681672
"5509a904273a3904f6e71c72" 1541 14 0.990996784565916
"5509a904273a3904f6e71c76" 1540 15 0.990353697749196
"5509a904273a3904f6e71c7a" 1366 189 0.878456591639871
"5509a904273a3904f6e71c7e" 1472 83 0.946623794212219
"5509a904273a3904f6e71c82" 1007 7 0.993096646942801
"5509a904273a3904f6e71c86" 1408 147 0.905466237942122
