"normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "parameters.Direction" "loss_function.Parameter1" "loss_function.Loss1" "loss_function.Parameter_1" "loss_function.Loss_1" "weights.w1" "weights.w2"
"event_21177-1399680000_16" 2.71938309054102 2.49173238806693 20.4194126851398 42.591965495012 1 20.4194126851398 42.591965495012 -3.23042052422997 294.782544400042 0.901869158878505 0.124352331606218
"event_21177-1399680000_17" 2.73076703082463 2.48132620617398 21.9318124459031 19.7699750800641 1 21.9318124459031 19.7699750800641 -3.24564537371031 293.493773508936 0.901869158878505 0.113989637305699
"event_21177-1399680000_18" 4.51695314744395 2.48943633179585 1.42771214422612 62.2790837253721 1 1.42771214422612 62.2790837253721 -5.46027812294886 682.066420343463 0.901869158878505 0.248704663212435
"event_21177-1399680000_19" 4.33791385075072 1.96071616026956 15.9713426249001 54.1509725360983 1 15.9713426249001 54.1509725360983 -5.30175669352872 588.950648028263 0.901869158878505 0.176165803108808
"event_21177-1399680000_20" 4.90687590209389 2.5464210507363 1.61776996648721 10.908412760374 1 1.61776996648721 10.908412760374 -5.94776438946831 777.342552874688 0.901869158878505 0.227979274611399
"event_21177-1399680000_21" 3.86842720077304 2.44925378391118 21.8124972968236 12.1290764733157 1 21.8124972968236 12.1290764733157 -4.67857466051955 501.307294966778 0.897196261682243 0.145833333333333
"event_21177-1399680000_22" 2.46697751592109 2.05130957135151 7.33137450413023 132.212808175317 1 7.33137450413023 132.212808175317 -2.94643500094661 242.842565024954 0.897196261682243 0.166666666666667
"event_21177-1399680000_23" 4.44459371718053 2.62805429296888 2.20268835685745 20.4569937479192 1 2.20268835685745 20.4569937479192 -5.37957615273843 655.224159225766 0.897196261682243 0.197916666666667
"event_21177-1399680000_24" 4.21547574810786 2.13211403270569 1.83571957117004 54.5969083885617 1 1.83571957117004 54.5969083885617 -5.12812073064365 573.905896793305 0.897196261682243 0.197916666666667
"event_21177-1399680000_25" 3.77546744587679 2.25861174858826 1.67797807564564 92.6790446233875 1 1.67797807564564 92.6790446233875 -4.5654251500914 488.474401625603 0.897196261682243 0.208333333333333
"event_21177-1399680000_26" 4.18898164692778 2.77296091202861 2.10431979241109 41.6194239942554 1 2.10431979241109 41.6194239942554 -5.05185209838746 605.346424042413 0.897196261682243 0.197916666666667
"event_21177-1399680000_27" 4.64523194047573 2.983546935055 1.1507646264701 8.53811189087806 1 1.1507646264701 8.53811189087806 -5.59002991535331 742.999407229493 0.897196261682243 0.25
"event_21177-1399680000_28" 4.43920798532782 2.61112156549459 7.33137458207553 10.4650844611977 1 7.33137458207553 10.4650844611977 -5.38046791945769 646.738723453075 0.897196261682243 0.177083333333333
"event_21177-1399680000_29" 4.27891854968121 2.20491843289275 5.29688144756652 37.2494264882607 1 5.29688144756652 37.2494264882607 -5.20940606057871 586.076827381394 0.897196261682243 0.177083333333333
"event_21177-1399680000_3" 5.24457779260371 0.434302440152786 0.627562743971231 47.937115238761 1 0.627562743971231 47.937115238761 -6.46001474113199 808.829510668003 0.925233644859813 0.262626262626263
"event_21177-1399680000_30" 4.27316937322474 2.19306715633248 1.72896892774296 51.9213961642796 1 1.72896892774296 51.9213961642796 -5.19077841985882 593.227006759316 0.897196261682243 0.208333333333333
"event_21177-1399680000_31" 4.21010488554533 2.11384242677388 2.61944205296739 51.3673694482693 1 2.61944205296739 51.3673694482693 -5.12632160277877 568.751997870268 0.897196261682243 0.1875
"event_21177-1399680000_4" 5.28489563560325 0.872361404780361 2.25960047119476 34.4041502333139 1 2.25960047119476 34.4041502333139 -6.49991145988499 820.334850492332 0.920560747663551 0.243654822335025
"event_21177-1399680000_5" 4.89009320999769 0.957587819200189 1.29672238852877 33.6320150525899 1 1.29672238852877 33.6320150525899 -6.00830017990767 706.288273956664 0.91588785046729 0.23469387755102
"event_21177-1399680000_6" 5.27991412580829 1.61622670197159 1.16674664987113 52.0520975015988 1 1.16674664987113 52.0520975015988 -6.43996345825196 852.447298760361 0.920560747663551 0.274111675126904
