"id" "normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "included"
"1" "event_21177-1399680000_12" 4.99161155629759 2.20904520729659 2.33143482129026 15.8018820179102 1
"2" "event_21512-1402272000_0" 2.32654693549049 -0.634123165552768 2.09537437626385 76.9799828977466 1
"3" "event_21930-1405382400_0" 4.78394557484758 -2.78455648007425 3.00532227843629 12.6998401226136 1
"4" "event_21930-1405382400_1" 5.00867207402504 -2.48008039601698 3.05202996921107 16.0878669874246 1
"5" "event_21930-1405382400_2" 1.664641313314 -1.31339300282528 0.903813510004371 5.70558774943231 1
"6" "event_22037-1406592000_0" 3.69003667335273 -1.31876126985258 7.89977622095966 97.2158000696979 1
"7" "event_22037-1406592000_1" 4.25592267001161 -1.03331036738649 0.986413608687508 87.7231707151619 1
"8" "event_22037-1406592000_3" 5.00542318085336 -1.32012563888738 1.16503412027678 27.8983569291894 1
"9" "event_22182-1409270400_3" 1.64858075094836 -0.751664956883002 7.29380068221852 7.53406683757393 1
"10" "event_22242-1409788800_24" 3.15084983491187 -1.81823120506849 1.68168736937465 15.3147472007464 1
"11" "event_22242-1409788800_25" 3.08860460331763 -1.81166723165054 0.0857799091307259 24.0436652611809 1
"12" "event_22242-1409788800_27" 3.129714770874 -1.72980414749593 5.88300984743758 8.85158090141519 1
"13" "event_22242-1409788800_29" 3.11786509097392 -1.76479278049618 0.734846892367982 21.6648320304171 1
"14" "event_22551-1412121600_1" 2.37522901943426 -1.38544679822667 1.93975962374153 7.54683065300032 1
"15" "event_22968-1414108800_1" 3.25382031315714 -0.750857472187437 7.33137452106182 11.5190520486879 1
"16" "event_23097-1414972800_0" 0.34692964704506 0.345124141019645 0.38974254127135 0.326468239167274 1
"17" "event_23097-1414972800_6" 1.12738172178874 -0.295320988698379 1.75399656039421 2.83983861075272 1
"18" "event_23281-1416268800_0" 3.09265061470441 -0.217400819932141 0.823091236766257 27.7138718624754 1
