"normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "parameters.Direction" "loss_function.Parameter1" "loss_function.Loss1" "loss_function.Parameter_1" "loss_function.Loss_1" "weights.w1" "weights.w2"
"55101bc9273a3922478e8a0c" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.949227373068433 0
"55101bca273a3922478e8a0e" -17.3038963016018 3.26707485536734 -55.4028701668497 894.557883914762 1 -55.4028701668497 894.557883914762 296.044575540992 137560.938169596 0.947019867549669 0.909090909090909
"55101bca273a3922478e8a10" -0.0413577526869503 -0.0367025633001032 0.752672874003949 0.821786449703931 1 0.752672874003949 0.821786449703931 -1.34817914640176 3.39798884476278 0.947019867549669 0.00932400932400934
"55101bca273a3922478e8a12" 17.5125356958584 -3.04906261953564 52.4022705957367 937.839524928384 1 52.4022705957367 937.839524928384 -301.917647055007 140033.105885469 0.95364238410596 0.907407407407407
"55101bca273a3922478e8a14" -0.0918551265967234 2.09140900216601 -39.061204126579 69.5633114126026 1 -39.061204126579 69.5633114126026 7.86598082566215 588.463203730755 0.951434878587196 0.0603248259860789
"55101bcb273a3922478e8a16" -0.0899708927606092 -0.0382984164879514 -2.75539752851127 0.0508121498198975 1 -2.75539752851127 0.0508121498198975 1.7199529646401 4.42641582258639 0.949227373068433 0.00465116279069766
"55101bcb273a3922478e8a1a" -0.928728843448086 4.95009188249006 -91.270717170762 112.139153460651 1 -91.270717170762 112.139153460651 29.90718298746 3768.42423976828 0.91832229580574 0.144230769230769
"55101bcb273a3922478e8a1c" -1.10799891644596 5.73650553952399 -103.103929610278 216.765980302193 1 -103.103929610278 216.765980302193 35.2780989733372 5029.15608787312 0.951434878587196 0.162412993039443
"55101bcc273a3922478e8a1e" -0.491255640890902 -0.192503490195947 9.3815307785015 24.028931335899 1 9.3815307785015 24.028931335899 -14.8215260435412 243.078331102382 0.942604856512141 0.0515222482435597
"55101bcf273a3922478e8a3a" 0.0153841463530385 0.0260061597272199 0.556620045524094 0.403144406548195 1 0.556620045524094 0.403144406548195 -0.455655492372371 0.61028320908188 0.931567328918322 0.00473933649289104
"55101bcf273a3922478e8a3c" 0.0164551286675284 0.026474241272418 0.589547963678334 0.429023766716743 1 0.589547963678334 0.429023766716743 -0.464709899150289 0.625836170484009 0.929359823399558 0.00475059382422804
"55101bcf273a3922478e8a3e" -16.7319972250865 3.65694428988289 88.4044658640097 4205.78678728715 1 88.4044658640097 4205.78678728715 236.112898114042 132558.00107083 0.940397350993378 0.967136150234742
"55101bd0273a3922478e8a40" 13.5376239364813 5.72823982710712 171.186290233325 2115.87651005703 1 171.186290233325 2115.87651005703 -250.113692124881 86108.1261181699 0.947019867549669 0.648018648018648
"55101bd0273a3922478e8a42" 12.8362580317569 5.7834482441624 296.536235328954 1711.22362998211 1 296.536235328954 1711.22362998211 -237.592693291471 78177.7861229048 0.942604856512141 0.613583138173302
"55101bd0273a3922478e8a44" -0.139733514424402 0.104687516956507 3.02643385665886 7.68403215758774 1 3.02643385665886 7.68403215758774 -3.56627076542961 25.4094951003334 0.93598233995585 0.0235849056603774
"55101bd0273a3922478e8a46" 14.4921541647409 5.46503138057453 56.9363371047803 1189.30687567269 1 56.9363371047803 1189.30687567269 -265.657501110907 97754.9551635699 0.942604856512141 0.707259953161593
"55101bd1273a3922478e8a48" -17.1357778634465 3.02117736333984 -35.4022172158186 1834.90860145653 1 -35.4022172158186 1834.90860145653 285.924019015482 135716.219675252 0.942604856512141 0.92271662763466
"55101bd2273a3922478e8a4a" -15.0866347943152 -5.87404747836706 -61.2794841061845 640.225436956763 1 -61.2794841061845 640.225436956763 275.54687916588 104808.05215565 0.966887417218543 0.703196347031964
"55101bd2273a3922478e8a4c" -17.4247365866877 3.41503561995457 -79.1316769290038 399.033777642745 1 -79.1316769290038 399.033777642745 314.747511685788 138114.085329865 0.964679911699779 0.878718535469108
"55101bd2273a3922478e8a4e" -17.333047366987 1.26322041662383 -71.6440978725402 584.676944994673 1 -71.6440978725402 584.676944994673 315.613472876557 134892.321565831 0.969094922737307 0.847380410022779
"55101bd3273a3922478e8a50" 0.0256437871640442 -2.26359520910604 41.4397888457036 238.18778110621 1 41.4397888457036 238.18778110621 -9.75721648624769 742.012442136033 0.975717439293598 0.081447963800905
"55101bd3273a3922478e8a52" -18.285799498327 4.47403134258147 -82.4221477416927 212.018424602144 1 -82.4221477416927 212.018424602144 305.900152190192 152491.42758632 0.977924944812362 0.91647855530474
"55101bd3273a3922478e8a54" -17.7068768495309 2.70748393676761 -71.8814125671111 902.939710788963 1 -71.8814125671111 902.939710788963 308.75096083061 142577.441718019 0.966887417218543 0.89041095890411
"55101bd3273a3922478e8a56" -17.2838985945113 1.48755866334337 -68.6416775732416 1666.20197356585 1 -68.6416775732416 1666.20197356585 308.963265767701 135692.971630015 0.971302428256071 0.863636363636364
"55101bd3273a3922478e8a58" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.913907284768212 0
"55101bd4273a3922478e8a5a" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.916114790286976 0
"55101bd4273a3922478e8a5c" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.924944812362031 0
"55101bd4273a3922478e8a5e" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.91832229580574 0
"55101bd4273a3922478e8a60" -0.00775597085223107 0.126303371731271 -2.68703865992926 0.933384223206903 1 -2.68703865992926 0.933384223206903 0.693001819550428 2.45380729344178 0.924944812362031 0.00477326968973746
"55101bd5273a3922478e8a62" -0.0872426432019694 -0.0366984075593075 -2.66872639020793 0.0912817153188517 1 -2.66872639020793 0.0912817153188517 1.66874236124505 4.24915980729033 0.927152317880795 0.00476190476190474
"55101bd5273a3922478e8a64" 0.0765616838170943 -2.41109796476744 44.6007643679031 167.151192245934 1 44.6007643679031 167.151192245934 -9.15594768850418 811.860778050111 0.911699779249448 0.0823244552058111
"55101bd5273a3922478e8a66" 0.0116647071751543 -0.167875944263321 3.57403873548333 0.462904494590357 1 3.57403873548333 0.462904494590357 -0.77072147595641 4.0635993600701 0.913907284768212 0.00483091787439616
"55101bd5273a3922478e8a68" -18.1957829263284 5.91127989575722 -78.1270753061083 537.096545625049 1 -78.1270753061083 537.096545625049 282.008201492227 153482.594877867 0.969094922737307 0.943052391799544
"55101bd6273a3922478e8a6a" -18.13762243155 4.06552921880569 -79.5504441219453 321.492298696738 1 -79.5504441219453 321.492298696738 308.381437999187 149733.522394232 0.975717439293598 0.909502262443439
"55101bd6273a3922478e8a6c" -17.3681808865057 2.17844163495343 -70.25567427712 1693.08115943371 1 -70.25567427712 1693.08115943371 310.97531318162 137061.820623682 0.971302428256071 0.872727272727273
"55101bd6273a3922478e8a6e" -17.684344607214 1.98774343235398 -73.7575804913484 635.174391322755 1 -73.7575804913484 635.174391322755 316.069579141511 140885.383861374 0.975717439293598 0.868778280542986
"55101bd7273a3922478e8a70" -0.221575506913289 -0.098297814258909 4.21785695386277 4.15626322082954 1 4.21785695386277 4.15626322082954 -6.75442036969644 50.8658126507872 0.916114790286976 0.0240963855421686
"55101bd7273a3922478e8a72" -18.1624964635323 5.60925002240599 -29.9572389757755 413.929082621239 1 -29.9572389757755 413.929082621239 278.887334244942 152528.452499604 0.964679911699779 0.947368421052632
"55101bd7273a3922478e8a74" 7.99018008613873 9.77124277628109 -130.917497069211 2552.50020918688 1 -130.917497069211 2552.50020918688 -95.1071404476552 56800.590511256 0.964679911699779 0.846681922196796
"55101bd7273a3922478e8a76" -17.0348913307061 0.519454325522096 -111.852142997156 359.070798851152 1 -111.852142997156 359.070798851152 312.104433893101 130280.686744421 0.960264900662252 0.832183908045977
"55101bd8273a3922478e8a78" -17.6138532702737 1.91662210565254 -72.8453304538589 477.34501700053 1 -72.8453304538589 477.34501700053 314.107342258467 140152.94200766 0.969094922737307 0.870159453302961
"55101bd8273a3922478e8a7a" -17.2617339593363 2.2367180641035 -78.961517454952 781.205008869013 1 -78.961517454952 781.205008869013 301.29796127447 136373.597670141 0.960264900662252 0.873563218390805
"55101bd8273a3922478e8a7c" -17.5162595343902 0.883860389453271 -91.5936624038481 151.007357647937 1 -91.5936624038481 151.007357647937 318.19008057416 137375.483872848 0.971302428256071 0.845454545454545
"55101bd8273a3922478e8a7e" -17.0923763085906 0.926637759941783 -110.986274131302 82.3368264586219 1 -110.986274131302 82.3368264586219 312.163154928262 131220.055835655 0.962472406181015 0.834862385321101
"55101bd9273a3922478e8a80" 14.6067979248211 6.79152342088005 66.6390243475169 726.976129091125 1 66.6390243475169 726.976129091125 -265.512416367374 99008.7057255779 0.969094922737307 0.674259681093394
"55101bd9273a3922478e8a82" -17.4161682202112 2.43330700057603 -74.1247936915915 396.639719402725 1 -74.1247936915915 396.639719402725 295.245319812113 139359.80007015 0.95364238410596 0.893518518518518
"55101bd9273a3922478e8a84" -17.5045486928191 2.26419948418781 -77.8800628239773 465.104200373458 1 -77.8800628239773 465.104200373458 314.258165587206 138510.086430727 0.969094922737307 0.865603644646925
"55101bd9273a3922478e8a86" -13.7191390593006 -6.07497807195711 -36.4580076775593 1827.63659702867 1 -36.4580076775593 1827.63659702867 251.517034208478 89300.6858842152 0.916114790286976 0.703614457831325
"55101bda273a3922478e8a88" -14.0241867860675 -6.17757247417101 -112.214937062386 0 1 -112.214937062386 0 257.727230597804 92235.2409914749 0.913907284768212 0.681159420289855
"55101bda273a3922478e8a8a" -14.0706268887809 -6.09929654093312 -114.888014805329 0 1 -114.888014805329 0 259.072159754305 92552.1549573854 0.913907284768212 0.681159420289855
"55101bda273a3922478e8a8c" -14.2352264741806 -5.96241451088479 -63.4788933156901 43.0392592142008 1 -63.4788933156901 43.0392592142008 262.672647651291 93864.780860301 0.924944812362031 0.677804295942721
"55101bda273a3922478e8a8e" -13.947448231114 -6.07009949243446 -148.82297902602 197.235793001067 1 -148.82297902602 197.235793001067 257.331588995627 90511.9283033609 0.920529801324503 0.666666666666667
"55101bdb273a3922478e8a90" -14.1611834626831 -5.74946940417232 -138.384210014352 0 1 -138.384210014352 0 262.060736067359 93047.7412226262 0.909492273730684 0.684466019417476
"55101bdb273a3922478e8a92" -14.0212312393448 -5.83085298408603 -71.7179032092728 41.5793293182019 1 -71.7179032092728 41.5793293182019 259.150148175657 91237.4376965484 0.916114790286976 0.674698795180723
"55101bdb273a3922478e8a94" 14.302419543069 3.21115405197527 88.5033022130365 2684.67338213141 1 88.5033022130365 2684.67338213141 -263.823137305214 95399.733854804 0.922737306843267 0.755980861244019
"55101bdb273a3922478e8a96" -0.158482933866032 -0.0564339087550406 -4.79620076781247 1.29475702032107 1 -4.79620076781247 1.29475702032107 3.05049431857583 14.4167917858576 0.913907284768212 0.00966183574879231
"55101bdc273a3922478e8a98" -0.520169483984644 -0.231327978741864 -15.8518364705245 3.85876563674499 1 -15.8518364705245 3.85876563674499 9.89957437224138 151.070259321097 0.922737306843267 0.0287081339712919
"55101bdc273a3922478e8a9a" 0.639219815622979 -0.877100219452499 21.6960901630506 254.526289082201 1 21.6960901630506 254.526289082201 -14.7132256920577 500.682823357917 0.916114790286976 0.0963855421686747
"55101bdc273a3922478e8a9c" -0.0652444566379095 0.457352772397222 -9.95605617864094 5.72691208141929 1 -9.95605617864094 5.72691208141929 2.46180285335131 32.2879121403556 0.907284768211921 0.0145985401459854
"55101bdc273a3922478e8a9e" 0.00991541217361809 0.154432403013453 -3.0774051404646 3.53004683829138 1 -3.0774051404646 3.53004683829138 1.08268921692166 4.82633957742888 0.927152317880795 0.00952380952380949
"55101bdd273a3922478e8aa0" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.922737306843267 0
"55101bdd273a3922478e8aa2" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.927152317880795 0
"55101bdd273a3922478e8aa4" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.911699779249448 0
"55101bdd273a3922478e8aa6" -12.9908143032796 -5.85533137647392 -160.498306327226 767.513522832494 1 -160.498306327226 767.513522832494 240.058247164804 80043.897329981 0.905077262693157 0.648780487804878
"55101bde273a3922478e8aa8" -0.0338129486951644 -0.056830853243508 -1.2201938899356 1.74448551123811 1 -1.2201938899356 1.74448551123811 0.99097334028326 2.69054589769068 0.924944812362031 0.00954653937947492
"55101bde273a3922478e8aaa" -0.0487280799708721 -0.0321452172866358 -1.53952058043397 2.24384403052121 1 -1.53952058043397 2.24384403052121 0.908474670435028 2.65648900826369 0.911699779249448 0.00968523002421307
"55101bde273a3922478e8aac" -0.0160725534600381 0.279676501778839 -5.8408229054132 9.06350323440191 1 -5.8408229054132 9.06350323440191 1.25175462164953 12.8391168334258 0.909492273730684 0.0145631067961165
"55101bde273a3922478e8aae" 0.62272714353154 -1.21166196239966 26.6481380649955 362.212965326091 1 26.6481380649955 362.212965326091 -15.1626609644573 605.661009072836 0.920529801324503 0.105515587529976
