"id" "family_name" "given_name" "X1" "X2"
"1" "237" "Sobotka" "Bohuslav" -6.74577124210539 0.163861536393413
"2" "252" "Zaorálek" "Lubomír" -4.99829464141174 4.23153296608724
"3" "303" "Filip" "Vojtìch" 10.2803164939654 -16.4269239546201
"4" "305" "Grebeníèek" "Miroslav" 11.1657999861215 -16.7641972126643
"5" "309" "Kováèik" "Pavel" 13.2340417148686 -17.6039610686372
"6" "312" "Bebarová Rujbrová" "Zuzka" 9.75286116738351 -11.9833645415859
"7" "346" "Bendl" "Petr" 13.8599430742136 12.7400247341226
"8" "354" "Èerný" "Karel" -12.5147917155439 -4.11253430798769
"9" "377" "Kalousek" "Miroslav" 9.10143050679954 12.4963838479433
"10" "392" "Lobkowicz" "Jaroslav" 10.011828226054 17.1672104335417
"11" "4" "Benda" "Marek" 12.9843494650379 11.7957848826393
"12" "401" "Nìmcová" "Miroslava" 14.9905406587247 11.9939233626272
"13" "422" "Urban" "Milan" -4.80968105892361 -2.8957395623677
"14" "443" "Stropnický" "Martin" -8.2914345790291 1.01628663101636
"15" "467" "Adámek" "František" -11.9309988825786 -3.07030452585027
"16" "4778" "Grospiè" "Stanislav" 10.1931268799214 -18.1789789950883
"17" "5261" "Dolejš" "Jiøí" 11.6957613060252 -17.4023248564865
"18" "5268" "Vostrá" "Miloslava" 12.356183112819 -18.3013829103592
"19" "5269" "Mládek" "Jan" -4.57891521324912 -3.33294807622059
"20" "5272" "Votava" "Václav" -11.4754822906434 -3.1536443947778
"21" "5273" "Pospíšil" "Jiøí" 1.59121524853603 2.88879611981128
"22" "5279" "Krákora" "Jaroslav" -4.7270930095999 -6.00086255595846
"23" "5282" "Šenfeld" "Josef" 12.4369362475459 -18.2173232262801
"24" "5290" "Marková" "Soòa" 10.2624343903938 -16.83670632291
"25" "5297" "Hašek" "Michal" -1.29364907829722 0.811457112664988
"26" "5307" "Èerný" "Alexander" 12.5445887982839 -18.3852018841081
"27" "5310" "Seïa" "Antonín" -10.4654501779535 2.98576244108077
"28" "5313" "Koníèek" "Vladimír" 13.4018312111318 -18.1784514328479
"29" "5314" "Hovorka" "Ludvík" -11.5683189024114 7.88198332000143
"30" "5321" "Koneèná" "Kateøina" 4.00408599821461 -6.25902504747663
"31" "5322" "Opálka" "Miroslav" 12.2327090538441 -18.1797982787454
"32" "5342" "Böhnisch" "Robin" -11.9802472412816 0.0579469390151833
"33" "5402" "Jandák" "Vítìzslav" -6.91792115935124 -2.14561659431148
"34" "5433" "Koskuba" "Jiøí" -10.2922465765996 -8.26263760096169
"35" "5447" "Bohdalová" "Vlasta" -6.28620067714559 -6.42352218307474
"36" "5456" "Dolejš" "Richard" -12.5097764002471 -2.84361378496702
"37" "5459" "Fiala" "Radim" 11.9654293728515 0.731223371622401
"38" "5461" "Halíková" "Milada" 9.228015855789 -16.6143980418014
"39" "5462" "Hamáèek" "Jan" -7.91868936275846 -2.00541794758694
"40" "5476" "Laudát" "František" 12.569187590658 18.7507666830917
"41" "5487" "Petrù" "Jiøí" -11.3008485142826 0.277627188967005
"42" "5490" "Ploc" "Pavel" -10.0279514715094 -6.87267629612615
"43" "5502" "Snopek" "Václav" 12.003356274997 -17.6714494160553
"44" "5506" "Šidlo" "Karel" 13.2011402377621 -17.8357309830613
"45" "5507" "Šincl" "Ladislav" -11.2022801648157 -4.73617987419497
"46" "5513" "Tejc" "Jeroným" -4.88650991788959 -5.22027202859147
"47" "5520" "Vilímec" "Vladislav" 12.8205638644093 6.28154867733917
"48" "5558" "Schwarzenberg" "Karel" 2.67865702372981 4.09048643624221
"49" "5700" "Adamec" "Ivan" 10.098753776536 6.24830780921573
"50" "5718" "Zlatuška" "Jiøí" -5.15666230967163 -0.538977455030613
"51" "5768" "Adam" "Vojtìch" 3.76001372807203 -8.40918419011331
"52" "5844" "Zahradník" "Jan" 15.4012064742348 12.0420009897149
"53" "5866" "Velebný" "Ladislav" -7.55847128413409 -4.55345385785609
"54" "5891" "Antonín" "Pavel" -3.79403383158394 -1.8519212743152
"55" "5897" "Bezecný" "Zdenìk" 11.5322171223864 17.203086613482
"56" "5903" "Èernochová" "Jana" 11.3879650099585 9.27661727831561
"57" "5909" "Farský" "Jan" 9.50408303795445 14.4885402112936
"58" "5911" "Foldyna" "Jaroslav" -7.32663943581659 -6.39378039891748
"59" "5914" "Gazdík" "Petr" 11.9535687371336 12.0280290042159
"60" "5917" "Heger" "Leoš" 11.7798525541207 15.9164862457507
"61" "5918" "Holík" "Pavel" -8.24004059634 -0.826726229904605
"62" "5919" "Horáèek" "Václav" 11.3987719461606 15.6992117525029
"63" "5920" "Hubáèková" "Gabriela" 13.4640560404078 -13.0153160350272
"64" "5921" "Huml" "Stanislav" -4.10418324266947 -9.93727159206674
"65" "5922" "Chalánková" "Jitka" 10.1671982819433 16.3459467191852
"66" "5926" "Chvojka" "Jan" -13.2648089741232 -1.34245452923925
"67" "5933" "Kádner" "David" 3.87847732019509 -2.44066926705662
"68" "5934" "Klán" "Jan" 12.9179708641902 -18.6334768889594
"69" "5938" "Matušovská" "Kvìta" 12.3877941796258 -18.3818401042994
"70" "5939" "Korte" "Daniel" 11.1733397976627 12.4784856070708
"71" "5940" "Kostøica" "Rom" 8.29073678318545 12.1321359562119
"72" "5943" "Langšádlová" "Helena" 7.80895929141149 13.9894828698384
"73" "5948" "Nekl" "Josef" 8.92607152612928 -10.9551257498083
"74" "5955" "Pecková" "Gabriela" 11.3816751928224 16.5017787337248
"75" "5956" "Polèák" "Stanislav" 2.6805013397846 3.51558715304982
