"id" "normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "included"
"1" "55101bf7273a3922478e8b58" -0.12766677508253 0.119580018518669 2.82116669994871 4.45726142618597 1
"2" "55101c30273a3922478e8ca4" 17.9886583026452 -5.78314867241392 -53.9344068048096 814.053599441832 1
"3" "55101c32273a3922478e8cb4" 0.00729293870810242 0.112547874392406 0.726135558455585 3.14727889073883 1
"4" "55101f8e273a3922478ea3c8" 16.4748739203289 1.23568838558758 115.583165221911 898.500047662 1
"5" "55101fd0273a3922478ea566" 0.070432728410891 -0.307463071845439 6.94127564669104 9.49084713807624 1
"6" "55101fe6273a3922478ea5ee" 0.925960229180369 -10.0035048940327 9.41857064586334 526.201624547028 1
"7" "55102003273a3922478ea646" 13.1698960630292 5.50782583451612 81.0545232657416 768.216796955415 1
"8" "55102007273a3922478ea65c" 0.0886159844671403 -0.0294157314726603 2.40926097891708 7.26106191734549 1
"9" "5510205e273a3922478ea884" 17.8000575953927 -5.40754080213978 -145.603976120456 26.0531764912936 1
"10" "5510206b273a3922478ea8da" 15.0218799147921 6.66122465118503 68.1918527689753 438.756512569102 1
"11" "551020a9273a3922478eaa0e" 0.00551131975185249 -0.0665689649400207 -0.289349628036301 1.13711875031331 1
"12" "551020aa273a3922478eaa12" 0.294908800374338 0.063071840219755 8.66859218581017 59.1071881661594 1
"13" "551020ae273a3922478eaa28" -0.0222592448581017 0.0613052645970895 0.590711216351589 1.18213883427772 1
"14" "551020bd273a3922478eaa6c" 0 0 2360.67981052625 0 1
"15" "551020f9273a3922478eab8c" 16.7749123730808 -2.35186892151286 51.0067961298114 1156.4635373466 1
