"voter_id" "distance"
"mp_Milanka<U+0408><U+0435>vtovicVuko<U+0458>ichic" 3.53535408689639
"mp_MilanKorac" 7.81748533055141
"mp_MilanKovach<U+0435>vic" 9.57250765225388
"mp_MilanKrkobabic" 3.16515229424604
"mp_MilanNovakovic" 3.53535408689639
"mp_MilanProfDrKn<U+0435>zh<U+0435>vic" 4.25832735481354
"mp_MilanP<U+0435>tric" 9.18489346784262
"mp_MilanSt<U+0435>vanovic" 4.14689345220954
"mp_MilinkoZhivkovic" 5.66323052149412
"mp_MilisavP<U+0435>troni<U+0458><U+0435>vic" 4.48074946841895
"mp_Mili<U+0458>aMil<U+0435>tic" 3.54020307674984
"mp_MiljanaNikolic" 1.74347257641022
"mp_MiljanaZindovic" 4.61033964095661
"mp_MiloradDrMi<U+0458>atovic" 4.40000476227054
"mp_MiloradStoshic" 6.3912182051626
"mp_MiloradTsv<U+0435>tanovic" 5.29175086284455
"mp_MilosavMilo<U+0458><U+0435>vic" 3.03706553589011
"mp_MiloshToshanic" 3.53535408689641
"mp_MilovanDr<U+0435>tsun" 3.48095479123491
"mp_MilutinMrkonjic" 6.15992584050832
"mp_Mil<U+0435>naBicanin" 4.45999739422749
"mp_Mil<U+0435>naCorilic" 4.37497135862463
"mp_Mil<U+0435>naTurk" 3.45435399760326
"mp_Mil<U+0435>taPoskuritsa" 7.08485030683221
"mp_Mil<U+0435>ticMiha<U+0458>lovic" 5.29420698419873
"mp_MiodragLinta" 5.03221569682523
"mp_MiodragNikolic" 9.80959258389816
"mp_MiraP<U+0435>trovic" 3.77509653958861
"mp_MirkoChikiriz" 6.92778074594392
"mp_MirkoKrlic" 5.39947628738688
"mp_MiroljubStankovic" 2.40094561353999
"mp_MiroslavMarkic<U+0435>vic" 3.71940815854963
"mp_Mir<U+0458>anaAndric" 5.46603964751045
"mp_Mir<U+0458>anaDjokovic" 3.2731139300455
"mp_Mir<U+0458>anaDragash" 3.87974244179963
"mp_Mir<U+0458>anaMar<U+0458>anovic" 3.3920415300457
