"id" "family_name" "given_name" "1" "2"
"111" "NeËas" "Petr" 19.2104388175998 0.849182820575859
"122" "OrgonÌkov·" "Hana" -32.4865501990347 -10.8900827510513
"1296" "GandaloviË" "Petr" 2.52468481027468 -0.174149020429547
"211" "Emmerov·" "Milada" -28.1621297702853 -7.73188658030237
"216" "Hulinsk˝" "Petr" -32.3994062565922 -8.00992111996426
"235" "Skopal" "Ladislav" -27.8647858501279 -8.4300660915893
"237" "Sobotka" "Bohuslav" -29.9908120682944 -10.3476360159882
"239" "äkromach" "ZdenÏk" -0.776104346558553 0.0778262516297277
"252" "Zaor·lek" "LubomÌr" -25.2882425806635 -6.17407860205939
"261" "HornÌkov·" "ZdeÚka" 21.6733891410449 1.02320259049515
"269" "Papeû" "Ji¯Ì" 22.3629851495589 0.784758802405583
"273" "Plach˝" "Jaroslav" 28.0767520286746 1.15810583839583
"280" "VidÌm" "Jan" 28.654809403707 0.602162242953005
"303" "Filip" "VojtÏch" -34.0676984545892 16.8711390859962
"305" "GrebenÌËek" "Miroslav" -35.1773317645107 17.3468731255058
"309" "Kov·Ëik" "Pavel" -32.3492180742667 16.4078839832672
"312" "Bebarov· Rujbrov·" "Zuzka" -38.2125448614818 17.9887788751654
"340" "Parkanov·" "Vlasta" 20.0299381131271 -0.585732766234713
"345" "Bartoö" "Walter" 23.8271784835565 -0.216817923394608
"346" "Bendl" "Petr" 19.912803573597 -0.00885817315351007
"354" "»ern˝" "Karel" -33.6266530891006 -11.1739076982451
"356" "Doktor" "Michal" 12.1587715390997 -0.930846725038657
"366" "Hojda" "Pavel" -37.2068345857391 18.1870221210282
"377" "Kalousek" "Miroslav" 18.9396926787248 1.1185768863388
"386" "K¯eËek" "Stanislav" -30.077290943696 -9.43376451271066
"392" "Lobkowicz" "Jaroslav" 28.3969941267069 0.594110281697532
"4" "Benda" "Marek" 26.0305331457533 0.691225297977283
"401" "NÏmcov·" "Miroslava" 28.3478209522404 -0.66674497414912
"410" "Petr" "B¯etislav" -10.55998010639 -1.58337710970401
"415" "Such·nek" "Pavel" 25.8031618368223 0.240520396732297
"422" "Urban" "Milan" -29.7678767491628 -10.9285599926818
"4778" "GrospiË" "Stanislav" -37.762223785211 18.0415542239195
"5255" "Svoboda" "Miroslav" -23.9169766621925 -8.29305383462154
"5261" "Dolejö" "Ji¯Ì" -31.5368138048634 16.8731922619086
"5268" "Vostr·" "Miloslava" -34.1984505231232 20.7622946900134
"5270" "Bran˝" "Petr" -35.1810127259506 16.5966087128772
"5272" "Votava" "V·clav" -35.9956505895625 -10.749073803294
"5273" "PospÌöil" "Ji¯Ì" 21.6821533223597 2.18134570975539
"5274" "Lev·" "Ivana" -38.0191757631239 18.0709121055274
"5279" "Kr·kora" "Jaroslav" -31.6460486700901 -10.7785708735898
"5282" "äenfeld" "Josef" -39.1844220699488 19.3630135849717
"5290" "Markov·" "SoÚa" -37.2839494645571 18.0320081245835
"5292" "V·Úa" "Miroslav" -30.3583230977637 -9.9341826287394
"5294" "Zgarba" "Petr" -4.13186321752075 -1.0679668053325
"5296" "Rusov·" "Marie" -33.7615050021814 17.296635426291
"5297" "Haöek" "Michal" -17.9865027935927 -5.97196475319816
"5300" "Mencl" "V·clav" 23.5376457651788 0.106620094656625
"5301" "äeich" "David" 19.4360662196924 0.170907270200611
"5307" "»ern˝" "Alexander" -36.8317259177836 19.455732975367
"5310" "SeÔa" "AntonÌn" -36.5696565680532 -4.59338472229156
"5311" "Sm˝kal" "Josef" -29.0069600536073 -7.32694479965899
"5313" "KonÌËek" "VladimÌr" -40.4178522393573 18.5962123633072
"5317" "MichalÌk" "AlfrÈd" -25.7880435251256 -6.34016989542706
"5321" "KoneËn·" "Kate¯ina" -35.5009757401965 15.2207963481646
"5322" "Op·lka" "Miroslav" -35.5659135826449 19.6127497806278
"5342" "Bˆhnisch" "Robin" -34.3083785725724 -10.4955339795103
"5376" "Tlucho¯" "Petr" 19.2605183371874 -1.37831012214924
"5379" "Bauer" "Jan" 21.9881882971051 1.14104923299451
"5383" "Bublan" "Frantiöek" -31.0997780982786 -7.06563291050436
"5384" "Paroubek" "Ji¯Ì" -27.7352881673073 -5.15257908028426
"5402" "Jand·k" "VÌtÏzslav" -25.3861191707295 -5.13052947481903
"5406" "Rath" "David" -15.1880230973531 -3.44519137664861
"5415" "Zapletal" "Cyril" -31.966476446626 -10.9843090407909
"5433" "Koskuba" "Ji¯Ì" -31.591579804044 -6.11742659070361
"5437" "änajdr" "Marek" 19.4235755021142 -0.274626245384993
"5444" "Babor" "Jan" -35.6664672499572 -9.36822793315633
"5445" "Boh·Ë" "ZdenÏk" 27.6204989041993 -0.217172987905775
"5446" "Bohatec" "Pavel" 3.08064979405396 0.029062023925183
"5447" "Bohdalov·" "Vlasta" -28.1681593916915 -8.32165869359107
"5453" "DÏdiË" "Frantiöek" 28.2640692257638 0.344196426949391
"5456" "Dolejö" "Richard" -35.1276240278981 -11.2001542816632
"5459" "Fiala" "Radim" 23.3471898877777 0.917535543860506
"5460" "Filipi" "Dana" 28.3210113691223 0.0599547867859087
"5461" "HalÌkov·" "Milada" -35.1798470832573 18.20270467726
"5462" "Ham·Ëek" "Jan" -27.4227864910625 -8.6438789274638
"5472" "Kr·tk˝" "Ji¯Ì" -33.7729168943875 -7.98896761010175
"5473" "Krupka" "Jaroslav" 23.9780412987619 0.0769935395234138
"5475" "L·tka" "Jan" -31.3426711052713 -9.52937670115638
"5476" "Laud·t" "Frantiöek" 26.0878440937095 -1.16497000292583
