"id" "normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "included"
"1" "58565" -1.64407611702986 -6.21117964883161 -9.83781797852655 871.566360539015 1
"2" "58640" -2.85124019392654 6.29462400093201 9.4985394797378 383.845208317483 1
"3" "58646" -8.39374259182357 1.09328302023999 17.4493099986451 633.507131636274 1
"4" "58699" -1.23795760360513 -2.40300691695778 39.4839162405117 304.508061877308 1
"5" "58720" -10.4484253252756 0.54427215337826 4.5957744631489 0 1
"6" "58748" -1.98917075251049 7.36710747656178 -12.5241898953043 40.80478890455 1
"7" "58782" -1.40255863818082 -3.44708948153636 22.0401660717337 765.308949748392 1
"8" "58818" -4.81673258163098 4.81957069350084 4.31560571447284 167.009224647566 1
"9" "59034" -1.29363308394106 -1.49321512765726 25.0137710070054 607.513531352192 1
"10" "59042" -0.951837565854758 -1.23041901594179 27.7250293611549 94.7261637846006 1
"11" "59235" -1.45214861585714 -3.14698154356025 19.8033407749604 480.428718962513 1
"12" "59475" -5.18227120577708 5.48296743562467 10.2190489798675 120.789668417217 1
"13" "59507" -5.187859651906 3.6882758320994 16.5996413697764 679.583070753465 1
"14" "59516" 2.17933087961759 5.09347410048626 -9.03842174721514 506.247275708084 1
"15" "59651" -4.96600220692817 -5.48984888031852 -3.88799477599804 121.118432278216 1
"16" "59653" -3.00321945787392 -3.62668389538328 64.1342022029398 114.360894422608 1
"17" "59664" -4.18263976156376 -5.25667395660708 55.1138391193502 148.111731811947 1
"18" "59698" -2.10414099112604 -2.98644865863497 49.3503231077387 474.318712558674 1
"19" "59710" -2.50223203705604 -2.7297767549611 51.1885175130652 640.71803827789 1
"20" "59766" -3.29720930711391 -4.82494055612811 34.8798882530844 483.250639483991 1
"21" "59773" -0.175632684828225 -0.459578775882084 8.07481742962742 91.4643198016445 1
"22" "59789" 0.103120420790973 -0.0868043462892123 1.29200179546816 15.9397959372412 1
"23" "59801" -0.203265612742852 -0.0717919980385668 3.69300780041 25.046394491948 1
"24" "59862" 5.94571429096566 6.41907873676567 2.88917035449111 64.6199795593447 1
"25" "59928" -3.30831685652627 4.23627096468005 -13.3872648103741 754.152535377012 1
"26" "59952" -2.95192497114087 5.7650182388333 -4.13756230766792 389.761539008465 1
"27" "59955" -9.28928213926729 -0.175095344467744 42.5366423395934 176.416194425369 1
"28" "59996" -0.116206000326179 5.49789124824113 -3.7407563950891 38.11624521083 1
